Name,Description,RecipeIngredientQuantities,RecipeIngredientParts,AggregatedRating,ReviewCount,Calories,FatContent,SaturatedFatContent,CholesterolContent,SodiumContent,CarbohydrateContent,FiberContent,SugarContent,ProteinContent,RecipeServings,RecipeYield,RecipeInstructions,ingredients_raw,ingredients,iscurry,isomelette
Traditional Spanish Omelette,My great-grandmother's recipe. This is a very common dish in Spain to serve as tapas by cutting into squares. Very simple ingredients but very tasty.,"c(NA, ""5"", ""1"", ""1"", NA, ""5"", ""2"")","c(""potatoes"", ""green capsicum"", ""eggs"", ""garlic cloves"")",4.5,2.0,326.2,5.3,1.6,211.5,90.0,57.9,7.5,4.3,13.0,6.0,,"c(""Wash and peel potatoes, cut into quarters and slice thinly."", ""Place in a large bowl."", ""Slice the onion and cut capsicum into thick slices and add to the potatoes."", ""Add some salt to taste and mix."", ""Heat oil in a deep pan and fry the potato, onion and capsicum together until potatoes are soft."", ""Remove and drain on paper towel."", ""Set aside."", ""Beat eggs in another bowl and add the potato mixture."", ""Add a salt to taste and pepper, finely chopped garlic and mix inches."", ""Mixture should appear as though it is just coating the potato. If mixture is too dry, add another egg."", 
""On a medium heat, in a non-stick pan, spray with a little oil and add the mixture."", ""Cook the mixture until egg looks cooked on bottom-- enough to be able flip over onto a plate and then sliding the mixture back into the pan to cook the other side.  Do not overcook egg as it will then become dry.  This is a recipe that needs practice until it is just right."", ""Serve while hot with a salad and crusty bread or cut into 2 inch squares for appetisers."", ""Can also be served cold."")","[""  oil (for frying)"",""5   large    potatoes"",""1   large    brown onion"",""1       green capsicum"",""  salt and pepper"",""5 (60   g)    eggs"",""2       garlic cloves""]","[""oil"", ""large potatoes"", ""onion"", ""salt pepper"", ""garlic cloves""]",0,1
Savory Stuffed Omelets (Kai Yad Sai),Make and share this Savory Stuffed Omelets (Kai Yad Sai) recipe from Food.com.,"c(""1/4"", ""1/4"", ""3"", ""3"", ""2"", ""1/2"", ""1"", ""1/4"", ""1/4"", ""3"", NA, NA)","c(""ground pork"", ""diced tomatoes"", ""green peas"", ""onions"", ""sugar"", ""fish sauce"", ""white pepper"", ""soy sauce"", ""eggs"", ""cilantro leaf"", ""red chile"")",4.0,1.0,278.8,23.3,5.1,185.3,468.6,4.4,0.6,3.1,12.8,4.0,,"c(""Heat half the oil in a wok over high heat and stir-fry the pork for 2 minutes, Add all remaining ingredients except eggs, garnishes& remaining oil, and stir-fry 2 minutes more."", ""Heat a 6-8\"" omelet pan and add a drop of the remaining oil."", ""Pour in enough egg to thinly cover the bottom of the pan."", ""Brown the omelet lightly on both sides, flipping over halfway through cooking."", ""Repeat until all the egg is used."", ""Place a tablespoon full of the pork mixture in the center of each omelet."", 
""Fold two opposite sides toward the center& then fold in the remaining sides so that it resembles a square."", ""Place omelet on serving plate and repeat until all omelets and pork mixture are used."", ""Garnish if desired."")","[""1/4  cup    vegetable oil"",""1/4  lb    ground pork"",""3   tablespoons    diced tomatoes"",""3   tablespoons    green peas"",""2   tablespoons   finely diced onions"",""1/2  tablespoon    sugar"",""1   tablespoon    fish sauce"",""1/4  teaspoon    white pepper"",""1/4  teaspoon    soy sauce"",""3       eggs, beaten "","" chopped cilantro leaf"","" sliced red chile""]","[""vegetable oil"", ""ground pork"", ""diced tomatoes"", ""green peas"", ""diced onions"", ""fish sauce"", ""white pepper"", ""soy sauce"", ""chopped cilantro leaf"", ""chile""]",0,1
Tortilla De Patata (Potato Omelette),"Typical spanish tapa. Delicious warm or cold. You can add other ingredients like bacon, ham, green or red peppers, but the typical is the potato and onion. Saves well for a couple of days in refrigerator and can be warmed up in microwave.","c(""5"", ""1 -2"", ""1"", ""6"", ""1"", ""1"")","c(""potato"", ""onion"", ""eggs"", ""salt"", ""baking powder"")",,,302.6,24.5,4.5,317.2,151.6,10.2,1.2,1.1,10.5,,1 tortilla,"c(""Heat the oil in a med."", ""size frying pan."", ""While oil is heating peel and chop potatoes into small pieces."", ""Add potatoes and onion to oil and fry till potatoes and onion are soft."", ""While potatoes are cooking beat together the 6 eggs with the salt and baking powder."", ""In the same pan drain most of the oil maybe leaving 1 tablespoons."", ""oil."", ""Over a low flame add the egg mixture to the potatoes, making sure the potatoes are completely covered."", ""Let cook for about 5 minutes."", ""With the help of a plate or platter that is larger then your frying pan place it over the pan and turn it over."", 
""Then you slide the tortilla back into the pan so the other side can cook."", ""Cook until egg is done."", ""Cut as if a pie or cut into bite size pieces and serve."", ""**If making for less- use just one potato and 4 eggs."")","[""5   tablespoons    oil, for frying "",""1 -2       potato, depending on size "",""1   tablespoon   chopped onion (fresh)"",""6       eggs"",""1   dash    salt"",""1   dash    baking powder""]","[""oil"", ""potato"", ""chopped onion"", ""baking powder""]",0,1
Southwestern Omelet,Make and share this Southwestern Omelet recipe from Food.com.,"c(""8"", ""1/2"", ""1/4"", ""1"", ""1/4"", ""1/4"", ""1"", ""1"")","c(""eggs"", ""water"", ""salt"", ""green chilies"", ""onion"", ""butter"", ""margarine"", ""monterey jack cheese"", ""cheddar cheese"")",5.0,2.0,393.5,30.3,15.8,478.6,892.8,9.3,0.9,6.3,21.0,4.0,,"c(""Mix together eggs, water, and salt."", ""Stir in chiles and onion."", ""For each omelet, melt 1 T, butter in a heavy skillet until hot enough to sizzle."", ""Pour in one-fourth of egg mixture."", ""As mixture begins to cook, lift edges of omelet and tilt pan to allow uncooked portion to flow underneath."", ""When egg mixture is set and no longer flows freely, sprinkle 1/4 cup cheese over half of omelet."", ""Fold omelet in half, and place on a warm platter."", ""Repeat procedure with remaining ingredients."", 
""Serve with taco sauce."")","[""8       eggs, beaten "",""1/2  cup    water"",""1/4  teaspoon    salt"",""1 (4   ounce) can  chopped green chilies, drained "",""1/4  cup   finely chopped onion"",""1/4  cup    butter or 1/4  cup    margarine, divided "",""1   cup   shredded monterey jack cheese or 1   cup    cheddar cheese"",""1 (8   ounce) jar   taco sauce or 1 (8   ounce) jar   picante sauce""]","[""chopped green chilies"", ""chopped onion"", ""butter margarine"", ""shredded monterey jack cheese cheddar cheese"", ""taco sauce picante sauce""]",0,1
Puffy Omelet,This is a beautiful presentation for an omelet. It doesn't look like scrambled eggs! Try with you favorite filling and toppings,"c(""6"", ""1/8"", ""6"", ""3/4"", ""1"", ""6"", ""2"", ""2"", NA)","c(""cream of tartar"", ""salt"", ""pepper"", ""milk"", ""butter"", ""parsley"")",5.0,3.0,185.4,15.0,6.7,301.7,581.4,2.3,0.0,0.5,9.8,4.0,,"c(""In a large bowl, let egg whites warm to room temperature about 1 hour."", ""Preheat the oven to 350 degrees F."", ""On high, beat egg whites with mixer with cream of tartar just until stiff peaks form when beaters are slowly raised."", ""In small bowl, using the same beaters, beat egg yolks until thick and lemon colored."", ""Add salt, pepper, and milk gradually, beat until well combined."", ""With a wire whisk or rubber spatula gently fold egg yolk mixture into the egg whites just until combined."", ""Slowly heat a 9-10\"" heavy skillet with heat resistant handle, or an omelet pan."", 
""(To test temperature sprinkle a little cold water on skillet. Water should sizzle and roll off in drops)."", ""Add butter and oil; heat until it sizzles briskly-it should not brown."", ""Tilt pan to coat side with butter mixture."", ""Spread egg mixture evenly in pan; cook over low heat, without stirring, until lightly browned on underside-about 10 minutes."", ""Transfer skillet to oven, bake 10-12 minutes or until top seems firm when gently pressed with fingertip."", ""To serve, fold omelet in half."", ""Turn out onto heated serving platter."", 
""Garnish with parsley sprigs, if desired."")","[""6       egg whites"",""1/8  teaspoon    cream of tartar"",""6       egg yolks"",""3/4  teaspoon    salt"",""1   dash    pepper"",""6   tablespoons    milk"",""2   tablespoons    butter"",""2   teaspoons    vegetable oil"",""  parsley, optional ""]","[""egg whites"", ""tartar"", ""egg yolks"", ""vegetable oil"", ""parsley""]",0,1
E-Z Mex-Tex Omelet,Make and share this E-Z Mex-Tex Omelet recipe from Food.com.,"c(""1/2"", ""1/2"", ""1/4"", ""6"", ""2"", ""1"", ""1"", ""1/2"", ""1/8"", ""1/2"", ""1/2"")","c(""onion"", ""bell pepper"", ""butter"", ""eggs"", ""parmesan cheese"", ""butter"", ""salt"", ""pepper"", ""cheddar cheese"", ""salsa"")",4.0,2.0,224.7,19.0,10.4,251.1,547.0,4.0,0.8,2.0,10.0,6.0,,"c(""Preheat oven to 350 degrees F."", ""Saute veggies in oil about 3 minutes."", ""Mix eggs, cheese, cream, butter, salt and pepper; pour over vegetables."", ""Cook, stirring gently, until eggs are set on bottom, about 3 minutes."", ""Sprinkle with cheese."", ""Bake 5 to 7 minutes or until cheese is melted and eggs are set."", ""Cover with salsa and serve."")","[""1/2  cup   chopped onion"",""1/2  cup   chopped bell pepper"",""1/4  cup    butter (for saute)"",""6       eggs, lightly beaten "",""2   tablespoons   grated parmesan cheese"",""1   tablespoon    cream"",""1   tablespoon    butter, melted "",""1/2  teaspoon    salt"",""1/8  teaspoon    pepper"",""1/2  cup   shredded cheddar cheese"",""1/2  cup   favorite salsa""]","[""chopped onion"", ""chopped bell pepper"", ""butter"", ""grated parmesan cheese"", ""butter"", ""shredded cheddar cheese"", ""favorite salsa""]",0,1
Bill's Lite Garden Omelet,Make and share this Bill's Lite Garden Omelet recipe from Food.com.,"c(""1"", ""2"", ""1"", ""1"", ""1/4"", ""1/4"", ""1/4"", ""1/4"", ""1/8"", ""1"", ""1/2"", ""2 -3"", ""1/8 - 1/4"", ""1/4"", ""1"", NA, NA, NA)","c(""egg"", ""skim milk"", ""shallot"", ""bell pepper"", ""portabella mushroom"", ""fresh tomato"", ""low-fat cheddar cheese"", ""onion powder"", ""fresh thyme"", ""fresh chives"", ""Worcestershire sauce"", ""garlic"", ""salt"", ""pepper"")",5.0,1.0,185.9,7.1,2.8,191.9,369.6,8.2,1.6,3.5,21.9,1.0,,"c(""Spray small skillet with non-stick spray."", ""Add shallots and garlic, cooking over medium-low heat for 2-3 minutes, adding a few drops of water as necessary to prevent sticking."", ""Season with salt and pepper; add bell peppers and saute for a few more minutes before adding mushrooms and 1-2 tsp water, continuing to cook until vegetables are tender."", ""Remove from heat and drain any excess liquid."", ""Stir in tomatoes."", ""Beat together egg whites, yolk, creamer (or milk), and remaining seasonings (onion powder, thyme, chives, Worcestershire, hot sauce, and Cajun seasoning)."", 
""Generously coat a medium sized skillet with non-stick cooking spray; heat over low to medium-low heat."", ""Pour in egg mixture."", ""When egg is mostly set, sprinkle vegetables over surface; then sprinkle cheese on top of vegetables."", ""As cheese begins to melt, fold omelet approximately 1/3 over towards center, and the remaining third on top of that."", ""Slide omelet onto serving plate."", ""Garnish with a sprinkle of paprika if you desire."", ""Serve."")","[""1       egg"",""2       egg whites"",""1   tablespoon    non-fat coffee creamer or 1   tablespoon    skim milk"",""1   small    shallot, diced fine "",""1/4  cup    bell pepper, diced "",""1/4  cup   baby portabella mushroom, sliced "",""1/4  cup    fresh tomato, diced "",""1/4  cup   shredded low-fat cheddar cheese"",""1/8  teaspoon    onion powder"",""1   teaspoon    fresh thyme, chopped "",""1/2  teaspoon    fresh chives, chopped "",""2 -3   drops    Worcestershire sauce"",""1/8-1/4  teaspoon    hot sauce (Red Hot or Tabasco)"",""1/4  teaspoon   minced garlic"",""1   pinch    cajun seasoning (such as Emeril\u0027s Essence)"",""  salt"",""  pepper"","" non-stick butter-flavored cooking spray""]","[""egg whites"", ""coffee skim milk"", ""shallot"", ""bell pepper"", ""baby portabella mushroom"", ""fresh tomato"", ""shredded low - fat cheddar cheese"", ""onion powder"", ""fresh thyme chopped"", ""fresh chives chopped"", ""Worcestershire sauce"", ""hot sauce Red Hot Tabasco"", ""minced garlic"", ""cajun seasoning Emeril  Essence"", ""butter cooking spray""]",0,1
Chili Jack Oven Omelet,Make and share this Chili Jack Oven Omelet recipe from Food.com.,"c(""6"", ""3/4"", ""1/4"", ""1/2"", ""1/2"", ""1 2/3"", ""3"")","c(""eggs"", ""water"", ""salt"", ""monterey jack cheese"", ""green chili peppers"")",5.0,10.0,210.6,14.5,7.6,240.4,459.7,3.6,0.1,3.4,15.9,6.0,,"c(""Beat eggs with whisk until fluffy."", ""Stir in water, powdered milk, salt, seasonings, cheese and peppers."", ""Pour into a lightly buttered 9-inch pie pan."", ""Bake at 350°F for 35 minutes or until puffed and golden brown."", ""Cut into wedges."", ""Serve immediately."")","[""6       eggs"",""3/4  cup    water"",""1/4  cup    nonfat dry milk powder"",""1/2  teaspoon    salt"",""1/2  teaspoon    Mexican seasoning (or 1/8 teaspoon each oregano, garlic powder,cumin and black pepper)"",""1 2/3  cups   shredded monterey jack cheese"",""3   tablespoons   chopped green chili peppers""]","[""nonfat dry milk powder"", ""Mexican seasoning oregano garlic powder cumin black pepper"", ""shredded monterey jack cheese"", ""chopped green chili peppers""]",0,1
Egyptian Spinach Omelet,"This omelet is cooked open-faced, like a frittata. The flavors are brunch-friendly, and could even make a nice light dinner, served with some fresh flatbreads and herbs from your garden.","c(""12"", ""2"", ""2"", ""2"", NA, NA, ""6"", ""1/4"", ""2"", ""1"")","c(""canola oil"", ""onions"", ""tomatoes"", ""salt"", ""fresh ground pepper"", ""eggs"", ""nutmeg"", ""canola oil"", ""chickpeas"")",4.5,2.0,274.0,15.3,2.4,186.0,331.3,23.5,5.5,3.1,12.2,6.0,,"c(""Rinse and drain spinach; squeeze out excess water."", ""Place spinach in saucepan over medium heat; cover with lid and allow to wilt."", ""Remove from heat and drain in colander."", ""Remove all excess water."", ""Heat oil in large cast-iron skillet or other ovenproof skillet."", ""Add chopped onions and cook until tender and lightly golden."", ""Add tomatoes to skillet; season to taste with salt and pepper."", ""Cook for 12-15 minutes or until tomato is tender and liquid is reduced."", ""Preheat broiler."", ""Beat eggs lightly in bowl; season to taste with salt and pepper."", 
""Add nutmeg to flavor the eggs, stirring well."", ""Add tomato mixture and spinach to beaten eggs and mix well."", ""Heat the remaining 2 tablespoons oil in cast-iron or ovenproof skillet; pour mixture in."", ""Top with canned chickpeas."", ""Cook over low heat for approximately 10-12 minutes or until the bottom has set; then place under broiler to finish setting the top."", ""It should be firm and lightly browned when it is done."", ""Cut into slices and serve."")","[""12   ounces   fresh Baby Spinach"",""2   tablespoons    canola oil or 2   tablespoons    vegetable oil"",""2   medium    onions, chopped "",""2   medium    tomatoes, peeled and chopped "",""  salt"",""  fresh ground pepper"",""6       eggs"",""1/4  teaspoon    nutmeg"",""2   tablespoons    canola oil or 2   tablespoons    vegetable oil"",""1 (15   ounce) can   chickpeas, rinsed and drained ""]","[""Baby Spinach"", ""canola oil vegetable oil"", ""medium onions chopped"", ""tomatoes"", ""ground"", ""nutmeg"", ""canola oil vegetable oil"", ""chickpeas""]",0,1
Bleu Cheese Omelet,"Cheese and apples are natural partners, and in an omelet they are an extra special combination. This is a good vegetarian dish to try on your family. This recipe is from the American Family Cookbook.","c(""1"", ""2"", ""2"", NA, ""1"", ""1/2"", ""1/4"", ""1"")","c(""butter"", ""eggs"", ""water"", ""black pepper"", ""butter"", ""green apple"", ""blue cheese"", ""fresh chives"")",5.0,5.0,497.6,42.8,24.0,509.4,775.1,8.9,1.3,6.5,20.2,1.0,,"c(""To make filling, melt butter in a small skillet and cook apple over a low heat for 2-3 minutes or until just heated through."", ""Remove pan from heat; set aside and keep warm."", ""To make omelet, melt butter in a small skillet."", ""Place eggs, water and black pepper to taste in a small bowl and whisk to combine."", ""Pour egg mixture into pan and cook over medium heat, continually drawing in the edge of the omelet with a fork during cooking, until no liquid remains, and the omelet is lightly set."", 
""Top half of the omelet with apple slices, cheese, and chives and fold in half."", ""Slip onto a plate and serve immediately."")","[""1   tablespoon    butter"",""2       eggs"",""2   teaspoons    water"","" freshly ground black pepper"",""1   tablespoon    butter"",""1/2  small    green apple, cored and thinly sliced "",""1/4  cup   crumbled blue cheese"",""1   teaspoon   snipped fresh chives""]","[""ground black pepper"", ""green apple"", ""crumbled blue cheese"", ""fresh chives""]",0,1
